amfi_code,scheme_name,cagr_1yr,cagr_3yr,cagr_5yr
100016,HDFC Top 100 Fund - Regular Plan - Growth,-2.23,1.29,2.64
100025,HDFC Short Term Debt Fund - Regular - Growth,3.71,3.92,4.46
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,53.28,32.43,30.12
101206,ABSL Frontline Equity Fund - Regular - Growth,47.96,28.96,23.54
101207,ABSL Small Cap Fund - Regular - Growth,-24.0,-4.15,7.94
101208,ABSL Liquid Fund - Regular - Growth,7.24,6.31,6.51
102885,UTI Nifty 50 Index Fund - Regular - Growth,20.22,19.66,18.23
102886,UTI Mid Cap Fund - Regular - Growth,-16.81,-0.77,1.17
102887,UTI Flexi Cap Fund - Regular - Growth,13.59,25.55,16.84
118632,Nippon India Large Cap Fund - Regular - Growth,34.01,22.65,24.05
118633,Nippon India Large Cap Fund - Direct - Growth,25.56,21.08,16.27
118634,Nippon India Small Cap Fund - Regular - Growth,15.82,8.01,16.37
118635,Nippon India ETF Nifty 50 BeES,22.51,20.0,15.96
118636,Nippon India Gilt Securities Fund - Regular - Growth,10.46,4.06,5.32
119092,Axis Bluechip Fund - Regular - Growth,1.61,0.53,6.37
119093,Axis Bluechip Fund - Direct - Growth,19.78,20.81,7.9
119094,Axis Midcap Fund - Regular - Growth,22.28,35.1,28.21
119095,Axis Small Cap Fund - Regular - Growth,-42.82,-11.7,1.52
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.53,5.84,5.89
119551,SBI Bluechip Fund - Regular Plan - Growth,60.49,30.45,25.8
119552,SBI Bluechip Fund - Direct Plan - Growth,5.71,16.26,21.52
119598,SBI Small Cap Fund - Regular Plan - Growth,82.85,26.66,32.42
119599,SBI Small Cap Fund - Direct Plan - Growth,13.96,-1.34,2.05
120503,ICICI Pru Bluechip Fund - Regular - Growth,8.5,13.97,18.79
120504,ICICI Pru Bluechip Fund - Direct - Growth,13.07,32.48,23.3
120505,ICICI Pru Midcap Fund - Regular - Growth,29.63,31.77,32.83
120506,ICICI Pru Value Discovery Fund - Regular - Growth,41.85,18.42,17.08
120507,ICICI Pru Liquid Fund - Regular - Growth,7.43,7.39,7.24
120841,Kotak Bluechip Fund - Regular - Growth,16.85,17.26,13.53
120842,Kotak Emerging Equity Fund - Regular - Growth,22.52,7.75,6.7
120843,Kotak Flexicap Fund - Regular - Growth,26.68,29.58,30.91
120844,Kotak Liquid Fund - Regular - Growth,7.13,6.69,6.92
125497,HDFC Top 100 Fund - Direct Plan - Growth,28.7,18.43,19.02
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.46,11.24,11.3
148567,Mirae Asset Large Cap Fund - Regular - Growth,20.38,33.99,30.97
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.28,14.74,22.52
148569,Mirae Asset Tax Saver Fund - Regular - Growth,39.78,29.17,31.95
149322,DSP Top 100 Equity Fund - Regular - Growth,18.12,18.04,13.39
149323,DSP Midcap Fund - Regular - Growth,21.5,26.86,29.58
149324,DSP Small Cap Fund - Regular - Growth,65.2,26.99,32.29
